구분,광주
2025년04월01일,1527.08
2025년04월02일,1527.25
2025년04월03일,1527.19
2025년04월04일,1522.86
2025년04월05일,1519.70
2025년04월06일,1519.00
2025년04월07일,1518.62
2025년04월08일,1515.98
2025년04월09일,1512.75
2025년04월10일,1507.90
2025년04월11일,1504.88
2025년04월12일,1503.83
2025년04월13일,1503.11
2025년04월14일,1501.78
2025년04월15일,1499.42
2025년04월16일,1496.57
2025년04월17일,1494.75
2025년04월18일,1493.81
2025년04월19일,1493.36
2025년04월20일,1493.03
2025년04월21일,1491.25
2025년04월22일,1489.47
2025년04월23일,1489.76
2025년04월24일,1487.79
2025년04월25일,1488.03
2025년04월26일,1487.92
2025년04월27일,1487.87
2025년04월28일,1488.46
2025년04월29일,1489.49
2025년04월30일,1489.92
2025년05월01일,1492.05
2025년05월02일,1493.55
2025년05월03일,1494.48
2025년05월04일,1493.98
2025년05월05일,1492.84
2025년05월06일,1492.41
2025년05월07일,1491.35
2025년05월08일,1491.36
2025년05월09일,1490.66
2025년05월10일,1489.57
2025년05월11일,1489.92
2025년05월12일,1489.67
2025년05월13일,1490.43
2025년05월14일,1490.37
2025년05월15일,1490.31
2025년05월16일,1490.10
2025년05월17일,1489.98
2025년05월18일,1490.23
2025년05월19일,1489.89
2025년05월20일,1489.42
2025년05월21일,1489.41
2025년05월22일,1489.62
2025년05월23일,1488.76
2025년05월24일,1488.07
2025년05월25일,1488.31
2025년05월26일,1487.81
2025년05월27일,1487.41
2025년05월28일,1487.30
2025년05월29일,1486.38
2025년05월30일,1485.46
2025년05월31일,1485.01
2025년06월01일,1484.36
2025년06월02일,1485.77
2025년06월03일,1484.40
2025년06월04일,1483.30
2025년06월05일,1482.10
2025년06월06일,1481.78
2025년06월07일,1481.56
2025년06월08일,1481.08
2025년06월09일,1480.89
2025년06월10일,1481.03
2025년06월11일,1479.87
2025년06월12일,1480.67
2025년06월13일,1482.06
2025년06월14일,1482.85
2025년06월15일,1484.41
2025년06월16일,1487.67
2025년06월17일,1490.80
2025년06월18일,1492.54
2025년06월19일,1495.46
2025년06월20일,1497.98
2025년06월21일,1502.55
2025년06월22일,1503.94
2025년06월23일,1512.27
2025년06월24일,1518.48
2025년06월25일,1518.67
2025년06월26일,1518.88
2025년06월27일,1518.63
2025년06월28일,1517.79
2025년06월29일,1518.27
2025년06월30일,1517.92
2025년07월01일,1518.82
2025년07월02일,1519.15
2025년07월03일,1517.46
2025년07월04일,1518.28
2025년07월05일,1518.93
2025년07월06일,1517.47
2025년07월07일,1517.82
2025년07월08일,1518.02
2025년07월09일,1518.02
2025년07월10일,1516.71
2025년07월11일,1517.69
2025년07월12일,1518.47
2025년07월13일,1518.37
2025년07월14일,1518.36
2025년07월15일,1518.82
2025년07월16일,1519.15
2025년07월17일,1518.91
2025년07월18일,1519.73
2025년07월19일,1519.13
2025년07월20일,1519.61
2025년07월21일,1520.51
2025년07월22일,1521.12
2025년07월23일,1521.71
2025년07월24일,1522.83
2025년07월25일,1523.15
2025년07월26일,1524.06
2025년07월27일,1523.81
2025년07월28일,1524.88
2025년07월29일,1524.29
2025년07월30일,1524.09
2025년07월31일,1525.05
2025년08월01일,1525.69
2025년08월02일,1526.14
2025년08월03일,1526.07
2025년08월04일,1526.59
2025년08월05일,1526.64
2025년08월06일,1527.28
2025년08월07일,1526.77
2025년08월08일,1526.85
2025년08월09일,1526.10
2025년08월10일,1525.52
2025년08월11일,1525.57
2025년08월12일,1525.54
2025년08월13일,1524.95
2025년08월14일,1524.04
2025년08월15일,1524.81
2025년08월16일,1524.30
2025년08월17일,1524.10
2025년08월18일,1524.37
2025년08월19일,1522.46
2025년08월20일,1521.97
2025년08월21일,1522.01
2025년08월22일,1521.35
2025년08월23일,1519.99
2025년08월24일,1520.51
2025년08월25일,1520.70
2025년08월26일,1520.57
2025년08월27일,1520.45
2025년08월28일,1519.26
2025년08월29일,1518.92
2025년08월30일,1518.21
2025년08월31일,1518.63
2025년09월01일,1518.50
2025년09월02일,1518.64
2025년09월03일,1518.91
2025년09월04일,1517.88
2025년09월05일,1517.37
2025년09월06일,1517.88
2025년09월07일,1517.21
2025년09월08일,1518.48
2025년09월09일,1517.95
2025년09월10일,1518.63
2025년09월11일,1518.97
2025년09월12일,1519.08
2025년09월13일,1518.79
2025년09월14일,1518.92
2025년09월15일,1519.14
