구분,보통휘발유,자동차용경유
2025년04월01일,1665.07,1531.55
2025년04월02일,1665.01,1531.57
2025년04월03일,1665.10,1531.53
2025년04월04일,1664.71,1530.95
2025년04월05일,1663.17,1529.10
2025년04월06일,1662.54,1528.46
2025년04월07일,1661.51,1527.65
2025년04월08일,1659.10,1525.17
2025년04월09일,1656.28,1522.40
2025년04월10일,1653.64,1520.01
2025년04월11일,1651.13,1517.50
2025년04월12일,1648.82,1515.50
2025년04월13일,1648.63,1514.76
2025년04월14일,1647.33,1513.56
2025년04월15일,1644.91,1511.40
2025년04월16일,1642.49,1509.05
2025년04월17일,1640.54,1507.15
2025년04월18일,1639.14,1505.83
2025년04월19일,1637.35,1503.82
2025년04월20일,1636.95,1503.40
2025년04월21일,1636.42,1503.25
2025년04월22일,1635.36,1501.93
2025년04월23일,1634.67,1501.50
2025년04월24일,1634.38,1501.09
2025년04월25일,1634.24,1501.12
2025년04월26일,1633.68,1500.70
2025년04월27일,1633.50,1500.53
2025년04월28일,1634.54,1501.47
2025년04월29일,1634.95,1501.78
2025년04월30일,1635.54,1502.58
2025년05월01일,1638.80,1505.70
2025년05월02일,1639.53,1506.94
2025년05월03일,1639.64,1506.76
2025년05월04일,1639.91,1506.89
2025년05월05일,1640.51,1507.24
2025년05월06일,1639.80,1506.51
2025년05월07일,1639.72,1506.67
2025년05월08일,1638.94,1505.77
2025년05월09일,1638.54,1504.96
2025년05월10일,1637.29,1503.77
2025년05월11일,1637.44,1503.45
2025년05월12일,1637.71,1503.88
2025년05월13일,1637.39,1503.40
2025년05월14일,1637.25,1503.14
2025년05월15일,1637.12,1502.83
2025년05월16일,1636.77,1502.41
2025년05월17일,1636.00,1501.29
2025년05월18일,1635.90,1501.08
2025년05월19일,1636.37,1501.82
2025년05월20일,1636.05,1501.36
2025년05월21일,1635.66,1500.90
2025년05월22일,1635.18,1500.26
2025년05월23일,1634.89,1499.81
2025년05월24일,1634.01,1498.85
2025년05월25일,1633.65,1498.53
2025년05월26일,1634.18,1498.95
2025년05월27일,1633.65,1498.30
2025년05월28일,1632.96,1497.56
2025년05월29일,1632.28,1496.61
2025년05월30일,1631.85,1496.10
2025년05월31일,1630.74,1494.79
2025년06월01일,1630.23,1494.07
2025년06월02일,1630.25,1494.22
2025년06월03일,1629.85,1493.42
2025년06월04일,1629.55,1493.31
2025년06월05일,1629.00,1492.50
2025년06월06일,1628.48,1491.84
2025년06월07일,1627.69,1491.25
2025년06월08일,1627.90,1490.80
