구분,광주
2025년04월01일,1655.71
2025년04월02일,1655.99
2025년04월03일,1656.07
2025년04월04일,1652.66
2025년04월05일,1648.78
2025년04월06일,1647.71
2025년04월07일,1646.75
2025년04월08일,1643.97
2025년04월09일,1641.24
2025년04월10일,1636.69
2025년04월11일,1631.87
2025년04월12일,1630.19
2025년04월13일,1629.70
2025년04월14일,1627.89
2025년04월15일,1625.81
2025년04월16일,1624.12
2025년04월17일,1621.83
2025년04월18일,1620.78
2025년04월19일,1620.24
2025년04월20일,1619.68
2025년04월21일,1617.79
2025년04월22일,1615.87
2025년04월23일,1615.03
2025년04월24일,1614.36
2025년04월25일,1614.39
2025년04월26일,1614.06
2025년04월27일,1613.89
2025년04월28일,1614.15
2025년04월29일,1615.01
2025년04월30일,1615.54
2025년05월01일,1617.66
2025년05월02일,1618.54
2025년05월03일,1619.75
2025년05월04일,1619.47
2025년05월05일,1619.28
2025년05월06일,1618.88
2025년05월07일,1619.10
2025년05월08일,1618.29
2025년05월09일,1618.57
2025년05월10일,1617.83
2025년05월11일,1618.06
2025년05월12일,1618.20
2025년05월13일,1619.09
2025년05월14일,1619.41
2025년05월15일,1619.18
2025년05월16일,1619.14
2025년05월17일,1619.06
2025년05월18일,1619.21
2025년05월19일,1619.31
2025년05월20일,1618.98
2025년05월21일,1618.71
2025년05월22일,1618.91
2025년05월23일,1618.45
2025년05월24일,1617.56
2025년05월25일,1617.64
2025년05월26일,1616.99
2025년05월27일,1616.61
2025년05월28일,1615.92
2025년05월29일,1616.03
2025년05월30일,1615.36
2025년05월31일,1615.55
2025년06월01일,1614.78
2025년06월02일,1614.84
2025년06월03일,1614.94
2025년06월04일,1614.58
2025년06월05일,1613.98
2025년06월06일,1613.16
2025년06월07일,1613.01
2025년06월08일,1613.14
2025년06월09일,1612.65
2025년06월10일,1612.30
2025년06월11일,1612.07
2025년06월12일,1612.25
2025년06월13일,1613.58
2025년06월14일,1614.63
2025년06월15일,1616.17
2025년06월16일,1619.16
2025년06월17일,1622.28
2025년06월18일,1624.13
2025년06월19일,1626.62
2025년06월20일,1629.90
2025년06월21일,1632.99
2025년06월22일,1635.06
2025년06월23일,1641.65
2025년06월24일,1648.44
2025년06월25일,1649.38
2025년06월26일,1648.83
2025년06월27일,1649.14
2025년06월28일,1649.25
2025년06월29일,1649.45
2025년06월30일,1649.46
2025년07월01일,1649.66
2025년07월02일,1650.48
2025년07월03일,1649.67
2025년07월04일,1650.07
2025년07월05일,1650.41
2025년07월06일,1650.29
2025년07월07일,1650.83
2025년07월08일,1651.09
2025년07월09일,1650.69
2025년07월10일,1650.48
2025년07월11일,1651.57
2025년07월12일,1651.73
2025년07월13일,1651.79
2025년07월14일,1652.17
2025년07월15일,1652.41
2025년07월16일,1652.20
2025년07월17일,1652.74
2025년07월18일,1653.15
2025년07월19일,1653.81
2025년07월20일,1654.02
2025년07월21일,1654.01
2025년07월22일,1654.32
2025년07월23일,1654.25
2025년07월24일,1653.77
2025년07월25일,1653.51
2025년07월26일,1654.14
2025년07월27일,1653.97
2025년07월28일,1653.32
2025년07월29일,1652.60
2025년07월30일,1653.28
2025년07월31일,1653.44
2025년08월01일,1653.40
2025년08월02일,1653.97
2025년08월03일,1654.38
2025년08월04일,1654.27
2025년08월05일,1654.65
2025년08월06일,1654.02
2025년08월07일,1653.77
2025년08월08일,1653.66
2025년08월09일,1653.10
2025년08월10일,1652.79
2025년08월11일,1651.44
2025년08월12일,1651.21
2025년08월13일,1650.36
2025년08월14일,1649.85
2025년08월15일,1649.95
2025년08월16일,1649.89
2025년08월17일,1649.62
2025년08월18일,1649.05
2025년08월19일,1647.96
2025년08월20일,1646.69
2025년08월21일,1646.38
2025년08월22일,1646.57
2025년08월23일,1645.93
2025년08월24일,1645.48
2025년08월25일,1645.61
2025년08월26일,1645.39
2025년08월27일,1644.24
2025년08월28일,1643.92
2025년08월29일,1643.97
2025년08월30일,1643.50
2025년08월31일,1643.63
2025년09월01일,1643.10
2025년09월02일,1642.83
2025년09월03일,1642.49
2025년09월04일,1642.44
2025년09월05일,1641.91
2025년09월06일,1642.52
2025년09월07일,1642.51
2025년09월08일,1642.64
2025년09월09일,1642.75
2025년09월10일,1643.17
2025년09월11일,1643.57
2025년09월12일,1643.17
